Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-14 00:00:00-04:00,146.55024553924466,147.80003697928706,145.89195488883794,147.6569366455078,5044300,0.0,0.0
2023-08-15 00:00:00-04:00,145.82516174682408,146.2258571899001,143.3255646150033,143.8979949951172,10300300,0.0,0.0
2023-08-16 00:00:00-04:00,143.67859013982653,144.02204550535444,142.80085954985748,143.2874298095703,6978200,0.0,0.0
2023-08-17 00:00:00-04:00,143.94575675457614,144.30828255136032,141.57972383680195,141.79916381835938,9953900,0.0,0.0
2023-08-18 00:00:00-04:00,140.8641633919148,142.62914525994228,140.6638229119838,142.12350463867188,8517500,0.0,0.0
2023-08-21 00:00:00-04:00,142.7722621641297,143.20159235737893,141.2171848810203,142.61007690429688,8327000,0.0,0.0
2023-08-22 00:00:00-04:00,142.40017060750418,142.76271088712147,139.14690149137687,139.6525421142578,9673300,0.0,0.0
2023-08-23 00:00:00-04:00,139.62391921019298,140.80692084384748,138.77482322321023,140.59703063964844,7858000,0.0,0.0
2023-08-24 00:00:00-04:00,140.7210656382901,142.54328767696853,140.23450990627907,140.46347045898438,6534000,0.0,0.0
2023-08-25 00:00:00-04:00,140.51118870858545,141.78960044040733,139.1469167613831,140.29176330566406,6695500,0.0,0.0
2023-08-28 00:00:00-04:00,140.78783952187533,141.78003577182335,140.36805914622056,140.77828979492188,5094100,0.0,0.0
2023-08-29 00:00:00-04:00,140.92142517322705,142.00903150579643,140.4157699690162,141.92315673828125,6337000,0.0,0.0
2023-08-30 00:00:00-04:00,141.78958929674283,142.29522993537307,140.42531745676263,141.35073852539062,6277300,0.0,0.0
2023-08-31 00:00:00-04:00,141.44612011035608,141.53199486812625,139.2518373525646,139.60482788085938,10933900,0.0,0.0
2023-09-01 00:00:00-04:00,139.3758509661244,141.27439786180304,139.0037755456911,140.0723114013672,7903500,0.0,0.0
2023-09-05 00:00:00-04:00,140.39669086527354,141.398436925322,138.34549377898156,138.52676391601562,7854700,0.0,0.0
2023-09-06 00:00:00-04:00,138.04974578059017,138.8511368196232,137.4868650191869,138.2978057861328,8629200,0.0,0.0
2023-09-07 00:00:00-04:00,137.5059522257992,138.5935585277479,136.79995655145936,137.1147918701172,8373700,0.0,0.0
2023-09-08 00:00:00-04:00,136.7808764822824,137.4964073524471,136.09396568232324,137.21974182128906,7107900,0.0,0.0
2023-09-11 00:00:00-04:00,138.09745103979148,138.3836662850551,137.08616978970375,137.82078552246094,6854200,0.0,0.0
2023-09-12 00:00:00-04:00,137.85893257500257,140.54933534019625,137.42961701135775,139.61436462402344,8363200,0.0,0.0
2023-09-13 00:00:00-04:00,140.56840352451061,140.91185888166237,139.118271623213,139.68115234375,8325900,0.0,0.0
2023-09-14 00:00:00-04:00,141.04542364187574,143.01074585203747,140.74013807945315,142.390625,10034900,0.0,0.0
2023-09-15 00:00:00-04:00,142.07581608770172,142.84858714317608,141.49385036385468,141.9708709716797,19863400,0.0,0.0
